No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
1139,Loop,Austin,Texas,USA,North America,19,30-03-2023,25,76,57,Finance,Series A,24,2023
1140,Roku,San Jose,California,USA,North America,200,30-03-2023,6,3333,3133,Media,Post-IPO,208,2023
1141,Domestika,Madrid,Unknown,Spain,Europe,89,31-03-2023,45,198,109,Education,Series D,130,2023
1142,Guideline,Burlingame,California,USA,North America,48,03-04-2023,11,436,388,Finance,Series E,339,2023
1143,Textio,Seattle,Washington,USA,North America,15,03-04-2023,12,125,110,HR,Unknown,42,2023
1144,View,Mountain View,California,USA,North America,170,03-04-2023,23,739,569,Other,Post-IPO,2300,2023
1145,Boost,New York City,New York,USA,North America,15,04-04-2023,20,75,60,Finance,Series B,37,2023
1146,Amplitude,Milpitas,California,USA,North America,99,05-04-2023,13,762,663,Data,Post-IPO,311,2023
1147,Dunzo,Bengaluru,Unknown,India,Asia,300,05-04-2023,30,1000,700,Food,Unknown,382,2023
1148,Talent.com,Montreal,Unknown,Canada,North America,86,05-04-2023,18,478,392,HR,Series B,150,2023
1149,Pear Therapeutics,Boston,Massachusetts,USA,North America,170,07-04-2023,92,185,15,Healthcare,Post-IPO,409,2023
1150,ZestMoney,Bengaluru,Unknown,India,Asia,100,07-04-2023,20,500,400,Finance,Series C,120,2023
1151,Simpl,Bengaluru,Unknown,India,Asia,150,09-04-2023,25,600,450,Finance,Series B,71,2023
1152,Flock Freight,San Diego,California,USA,North America,45,10-04-2023,8,563,518,Logistics,Series D,399,2023
1153,Nori,Seattle,Washington,USA,North America,10,10-04-2023,37,27,17,Energy,Unknown,13,2023
1154,Examedi,Santiago,Unknown,Chile,South America,45,11-04-2023,25,180,135,Healthcare,Unknown,19,2023
1155,Milkrun,Sydney,Unknown,Australia,Oceana,400,11-04-2023,100,400,0,Food,Series A,86,2023
1156,Permutive,London,Unknown,UK,Europe,80,11-04-2023,40,200,120,Marketing,Series C,105,2023
1157,Redfin,Seattle,Washington,USA,North America,201,11-04-2023,4,5025,4824,Real Estate,Post-IPO,320,2023
1158,Viasat,San Diego,California,USA,North America,300,12-04-2023,4,7500,7200,Other,Post-IPO,366,2023
1159,Astronomer,Cincinnati,Ohio,USA,North America,100,13-04-2023,40,250,150,Data,Series C,282,2023
1160,Community Gaming,New York City,New York,USA,North America,17,14-04-2023,17,100,83,Crypto,Series A,18,2023
1161,Drip Capital,Palo Alto,California,USA,North America,75,14-04-2023,20,375,300,Finance,Series C,85,2023
1162,Clearcover,Chicago,Illinois,USA,North America,81,17-04-2023,15,540,459,Finance,Series D,304,2023
1163,Paper,Montreal,Unknown,Canada,North America,81,17-04-2023,3,2700,2619,Education,Series D,389,2023
1164,Ynsect,Paris,Unknown,France,Europe,17,17-04-2023,25,68,51,Food,Series D,579,2023
1165,Culture Amp,Melbourne,Unknown,Australia,Oceana,90,18-04-2023,9,1000,910,HR,Series F,257,2023
1166,Opendoor,San Francisco,California,USA,North America,560,18-04-2023,22,2545,1985,Real Estate,Post-IPO,1900,2023
1167,TRM Labs,San Francisco,California,USA,North America,16,18-04-2023,9,178,162,Crypto,Series B,149,2023
1168,WalkMe,San Francisco,California,USA,North America,112,19-04-2023,10,1120,1008,Other,Post-IPO,307,2023
1169,BuzzFeed,New York City,New York,USA,North America,180,20-04-2023,15,1200,1020,Media,Post-IPO,696,2023
1170,Gloat,New York City,New York,USA,North America,35,20-04-2023,12,292,257,HR,Series D,192,2023
1171,Koo,Bengaluru,Unknown,India,Asia,78,20-04-2023,30,260,182,Consumer,Series B,50,2023
1172,Benchling,San Francisco,California,USA,North America,74,21-04-2023,9,822,748,Other,Series F,411,2023
1173,Lyft,San Francisco,California,USA,North America,1072,21-04-2023,26,4123,3051,Transportation,Post-IPO,4900,2023
1174,BigPanda,Redwood City,California,USA,North America,40,24-04-2023,13,308,268,Infrastructure,Series E,337,2023
1175,Flink,Berlin,Berlin,Germany,Europe,8000,24-04-2023,40,20000,12000,Food,Series B,1000,2023
1176,Rapid,San Francisco,California,USA,North America,115,25-04-2023,50,230,115,Finance,Series D,272,2023
1177,Rapid,San Francisco,California,USA,North America,70,25-04-2023,30,233,163,Finance,Series D,272,2023
1178,Teampay,New York City,New York,USA,North America,30,26-04-2023,33,91,61,Finance,Series B,79,2023
1179,Airtasker,Sydney,Unknown,Australia,Oceana,45,27-04-2023,20,225,180,Retail,Series C,26,2023
1180,Alteryx,Los Angeles,California,USA,North America,320,27-04-2023,11,2909,2589,Data,Post-IPO,613,2023
1181,Chief,New York City,New York,USA,North America,43,27-04-2023,14,307,264,Other,Series B,140,2023
1182,Dropbox,San Francisco,California,USA,North America,500,27-04-2023,16,3125,2625,Other,Post-IPO,1700,2023
1183,Greenhouse,New York City,New York,USA,North America,100,27-04-2023,12,833,733,HR,Private Equity,110,2023
1184,Megaport,Brisbane,Unknown,Australia,Oceana,50,27-04-2023,16,313,263,Infrastructure,Post-IPO,98,2023
1185,Tickertape,Bengaluru,Unknown,India,Asia,29,27-04-2023,29,100,71,Finance,Seed,5,2023
1186,Vroom,New York City,New York,USA,North America,120,27-04-2023,11,1091,971,Transportation,Post-IPO,1300,2023
1187,Cue Health,San Diego,California,USA,North America,326,28-04-2023,30,1087,761,Healthcare,Post-IPO,899,2023
1188,N26,Berlin,Berlin,Germany,Europe,71,28-04-2023,4,1775,1704,Finance,Series E,1700,2023
1189,Bishop Fox,Phoenix,Arizona,USA,North America,50,02-05-2023,13,385,335,Security,Series B,146,2023
1190,Zoomo,Sydney,Unknown,Australia,Oceana,27,02-05-2023,8,338,311,Transportation,Series B,105,2023
1191,Brightcove,Boston,Massachusetts,USA,North America,70,03-05-2023,10,700,630,Marketing,Post-IPO,145,2023
1192,Healthy.io,Tel Aviv,Unknown,Israel,Asia,70,03-05-2023,33,212,142,Healthcare,Series D,185,2023
1193,TheSkimm,New York City,New York,USA,North America,22,03-05-2023,13,169,147,Media,Series C,28,2023
1194,Unity,San Francisco,California,USA,North America,600,03-05-2023,8,7500,6900,Other,Post-IPO,1300,2023
1195,Upwork,San Francisco,California,USA,North America,137,03-05-2023,15,913,776,Other,Post-IPO,168,2023
1196,Autograph,Los Angeles,California,USA,North America,30,04-05-2023,33,91,61,Crypto,Series B,205,2023
1197,Earnix,Tel Aviv,Unknown,Israel,Asia,30,04-05-2023,10,300,270,Finance,Unknown,100,2023
1198,Karma,Tel Aviv,Unknown,Israel,Asia,20,04-05-2023,28,71,51,Retail,Series A,34,2023
1199,Sabre,Dallas,Texas,USA,North America,1100,04-05-2023,15,7333,6233,Travel,Post-IPO,Null,2023
1200,Shopify,Ottawa,Unknown,Canada,North America,2300,04-05-2023,20,11500,9200,Retail,Post-IPO,122,2023
1201,Meesho,Bengaluru,Unknown,India,Asia,251,05-05-2023,15,1673,1422,Retail,Series F,1100,2023
1202,Twist Bioscience,San Francisco,California,USA,North America,270,05-05-2023,25,1080,810,Healthcare,Post-IPO,503,2023
1203,LinkedIn,Sunnyvale,California,USA,North America,716,08-05-2023,4,17900,17184,HR,Acquired,154,2023
1204,Akamai,Boston,Massachusetts,USA,North America,290,09-05-2023,3,9667,9377,Security,Post-IPO,35,2023
1205,AudioCodes,Tel Aviv,Unknown,Israel,Asia,80,09-05-2023,6,1333,1253,Other,Post-IPO,91,2023
1206,Sonatype,Baltimore,Maryland,USA,North America,100,09-05-2023,14,714,614,Security,Acquired,154,2023
1207,Redbubble,Melbourne,Unknown,Australia,Oceana,70,10-05-2023,23,304,234,Retail,Post-IPO,55,2023
1208,Similarweb,New York City,New York,USA,North America,60,10-05-2023,6,1000,940,Other,Post-IPO,235,2023
1209,Stack Overflow,New York City,New York,USA,North America,58,10-05-2023,10,580,522,HR,Acquired,153,2023
1210,Cornershop,Santiago,Unknown,Chile,South America,250,11-05-2023,11,2273,2023,Food,Acquired,31,2023
1211,Happay,Bengaluru,Unknown,India,Asia,160,12-05-2023,35,457,297,Finance,Acquired,21,2023
1212,Nuro,Mountain View,California,USA,North America,340,12-05-2023,30,1133,793,Transportation,Series D,2100,2023
1213,Lemonade,New York City,New York,USA,North America,45,16-05-2023,3,1500,1455,Finance,Post-IPO,481,2023
1214,Zepz,London,Unknown,UK,Europe,420,16-05-2023,26,1615,1195,Finance,Series E,700,2023
1215,Stash,New York City,New York,USA,North America,40,17-05-2023,10,400,360,Finance,Unknown,480,2023
1216,Pie Insurance,Washington DC,District of Columbia,USA,North America,63,18-05-2023,14,450,387,Finance,Series D,621,2023
1217,Flink,Berlin,Berlin,Germany,Europe,100,24-05-2023,16,625,525,Food,Series B,1000,2023
1218,Guild,Denver,Colorado,USA,North America,172,24-05-2023,12,1433,1261,Education,Series F,643,2023
1219,Western Digital,Kfar Saba,Unknown,Israel,Asia,60,24-05-2023,7,857,797,Hardware,Post-IPO,900,2023
