No.,Company,Location HQ,USState,Country,Continent,LaidOff,Date layoffs,Percentage,Company Size  Before Layoff,Company Size  After Layoff,Industry,Stage,Money Raised in millions,Year
453,The Grommet,Boston,Massachusetts,USA,North America,40,09-06-2022,100,40,0,Retail,Acquired,5,2022
454,Albert,Los Angeles,California,USA,North America,20,10-06-2022,8,250,230,Finance,Series C,175,2022
455,Berlin Brands Group,Berlin,Berlin,Germany,Europe,100,10-06-2022,10,1000,900,Retail,Unknown,1000,2022
456,Crypto.com,Singapore,Unknown,Singapore,Asia,260,10-06-2022,5,5200,4940,Crypto,Unknown,156,2022
457,FarEye,New Delhi,Unknown,India,Asia,250,10-06-2022,30,833,583,Logistics,Series E,150,2022
458,Freetrade,London,Unknown,UK,Europe,45,10-06-2022,15,300,255,Finance,Unknown,133,2022
459,Sanar,Sao Paulo,Unknown,Brazil,South America,60,10-06-2022,20,300,240,Healthcare,Unknown,11,2022
460,BlockFi,New York City,New York,USA,North America,250,13-06-2022,20,1250,1000,Crypto,Series E,1000,2022
461,Studio,San Francisco,California,USA,North America,33,13-06-2022,40,83,50,Education,Series B,50,2022
462,Wave Sports and Entertainment,Los Angeles,California,USA,North America,56,13-06-2022,33,170,114,Media,Series B,65,2022
463,Breathe,New Delhi,Unknown,India,Asia,50,14-06-2022,33,152,102,Healthcare,Series A,6,2022
464,Coinbase,San Francisco,California,USA,North America,1100,14-06-2022,18,6111,5011,Crypto,Post-IPO,549,2022
465,Compass,New York City,New York,USA,North America,450,14-06-2022,10,4500,4050,Real Estate,Post-IPO,Null,2022
466,Redfin,Seattle,Washington,USA,North America,470,14-06-2022,8,5875,5405,Real Estate,Post-IPO,319,2022
467,Sami,Sao Paulo,Unknown,Brazil,South America,75,14-06-2022,15,500,425,Healthcare,Unknown,36,2022
468,TIFIN,Boulder,Colorado,USA,North America,24,14-06-2022,10,240,216,Crypto,Series D,204,2022
469,Notarize,Boston,Massachusetts,USA,North America,110,15-06-2022,25,440,330,Legal,Series D,213,2022
470,OpenWeb,Tel Aviv,Unknown,Israel,Asia,14,15-06-2022,5,280,266,Media,Series E,223,2022
471,Swappie,Helsinki,Unknown,Finland,Europe,250,15-06-2022,17,1471,1221,Retail,Series C,169,2022
472,Swyft,Toronto,Unknown,Canada,North America,10,15-06-2022,30,33,23,Logistics,Series A,20,2022
473,Tonkean,Palo Alto,California,USA,North America,23,15-06-2022,23,100,77,Other,Series B,83,2022
474,Wealthsimple,Toronto,Unknown,Canada,North America,159,15-06-2022,13,1223,1064,Finance,Unknown,900,2022
475,Weee!,Fremont,California,USA,North America,150,15-06-2022,10,1500,1350,Food,Series E,863,2022
476,JOKR,New York City,New York,USA,North America,50,16-06-2022,5,1000,950,Food,Series B,430,2022
477,Zumper,San Francisco,California,USA,North America,45,16-06-2022,15,300,255,Real Estate,Series D,178,2022
478,Finite State,Columbus,Ohio,USA,North America,16,17-06-2022,20,80,64,Security,Series B,49,2022
479,Socure,Reno,Nevada,USA,North America,69,17-06-2022,13,531,462,Finance,Series E,646,2022
480,Unacademy,Bengaluru,Unknown,India,Asia,150,18-06-2022,3,5000,4850,Education,Series H,838,2022
481,BitOasis,Dubai,Unknown,United Arabian Emirates,Asia,9,19-06-2022,5,180,171,Crypto,Series B,30,2022
482,CityMall,Gurugram,Unknown,India,Asia,191,19-06-2022,30,637,446,Retail,Series C,112,2022
483,Aqgromalin,Chennai,Unknown,India,Asia,80,20-06-2022,30,267,187,Food,Unknown,12,2022
484,Bonsai,Toronto,Unknown,Canada,North America,30,20-06-2022,55,55,25,Retail,Series A,27,2022
485,Brighte,Sydney,Unknown,Australia,Oceana,30,20-06-2022,15,200,170,Energy,Series C,145,2022
486,SummerBio,Menlo Park,California,USA,North America,101,20-06-2022,100,101,0,Healthcare,Unknown,7,2022
487,Trax,Singapore,Unknown,Singapore,Asia,100,20-06-2022,12,833,733,Retail,Series E,1000,2022
488,Community,Los Angeles,California,USA,North America,40,21-06-2022,30,133,93,Marketing,Unknown,40,2022
489,Ebanx,Curitiba,Unknown,Brazil,South America,340,21-06-2022,20,1700,1360,Finance,Series B,460,2022
490,Sourcegraph,San Francisco,California,USA,North America,24,21-06-2022,8,300,276,Product,Series D,248,2022
491,IronNet,Washington DC,District of Columbia,USA,North America,90,22-06-2022,35,257,167,Security,Post-IPO,410,2022
492,MasterClass,San Francisco,California,USA,North America,120,22-06-2022,20,600,480,Education,Series E,461,2022
493,Ritual,Toronto,Unknown,Canada,North America,23,22-06-2022,16,144,121,Food,Series C,134,2022
494,Superpedestrian,Boston,Massachusetts,USA,North America,35,22-06-2022,7,500,465,Transportation,Series C,261,2022
495,Voi,Stockholm,Unknown,Sweden,Europe,35,22-06-2022,10,350,315,Transportation,Series D,515,2022
496,Aura,Boston,Massachusetts,USA,North America,70,23-06-2022,9,778,708,Security,Series F,500,2022
497,Netflix,Los Gatos,California,USA,North America,300,23-06-2022,3,10000,9700,Media,Post-IPO,121900,2022
498,Pipl,Spokane,Washington,USA,North America,22,23-06-2022,13,169,147,Security,Unknown,19,2022
499,Vouch,San Francisco,California,USA,North America,15,23-06-2022,7,214,199,Finance,Series C,159,2022
500,Voyage SMS,Los Angeles,California,USA,North America,8,23-06-2022,13,62,54,Marketing,Unknown,10,2022
501,Bestow,Dallas,Texas,USA,North America,41,24-06-2022,14,293,252,Finance,Series C,137,2022
502,Bitpanda,Vienna,Unknown,Austria,Europe,270,24-06-2022,27,1000,730,Crypto,Series C,546,2022
503,Ethos Life,San Francisco,California,USA,North America,40,24-06-2022,12,333,293,Finance,Series D,406,2022
504,Sunday,Atlanta,Georgia,USA,North America,90,24-06-2022,23,391,301,Finance,Series A,124,2022
505,AppLovin,Palo Alto,California,USA,North America,300,27-06-2022,12,2500,2200,Marketing,Post-IPO,1600,2022
506,Banxa,Melbourne,Unknown,Australia,Oceana,70,27-06-2022,30,233,163,Crypto,Post-IPO,13,2022
507,SafeGraph,San Francisco,California,USA,North America,27,27-06-2022,25,108,81,Data,Series B,61,2022
508,Udaan,Bengaluru,Unknown,India,Asia,180,27-06-2022,4,4500,4320,Retail,Unknown,Null,2022
509,UiPath,New York City,New York,USA,North America,210,27-06-2022,5,4200,3990,Data,Post-IPO,2000,2022
510,Bright Machines,San Francisco,California,USA,North America,30,28-06-2022,8,375,345,Data,Unknown,250,2022
511,HealthMatch,Sydney,Unknown,Australia,Oceana,18,28-06-2022,50,36,18,Healthcare,Series B,20,2022
512,Huobi,Bejing,Unknown,China,Asia,300,28-06-2022,30,1000,700,Crypto,Unknown,2,2022
513,Sidecar Health,Los Angeles,California,USA,North America,110,28-06-2022,40,275,165,Healthcare,Series C,163,2022
514,StockX,Detroit,Michigan,USA,North America,120,28-06-2022,8,1500,1380,Retail,Series E,690,2022
515,Vezeeta,Dubai,Unknown,United Arabian Emirates,Asia,50,28-06-2022,10,500,450,Healthcare,Series D,71,2022
516,Baton,San Francisco,California,USA,North America,16,29-06-2022,25,64,48,Transportation,Series A,13,2022
517,Clutch,Toronto,Unknown,Canada,North America,76,29-06-2022,22,345,269,Transportation,Series B,153,2022
518,Niantic,San Francisco,California,USA,North America,85,29-06-2022,8,1063,978,Consumer,Series D,770,2022
519,Oye Rickshaw,New Delhi,Unknown,India,Asia,40,29-06-2022,20,200,160,Transportation,Unknown,13,2022
520,Qumulo,Seattle,Washington,USA,North America,80,29-06-2022,19,421,341,Data,Series E,347,2022
521,Rows,Berlin,Berlin,Germany,Europe,18,29-06-2022,30,60,42,Other,Series B,25,2022
522,Substack,San Francisco,California,USA,North America,13,29-06-2022,14,93,80,Media,Series B,82,2022
523,Unity,San Francisco,California,USA,North America,200,29-06-2022,4,5000,4800,Other,Post-IPO,1300,2022
524,Abra,Mountain View,California,USA,North America,12,30-06-2022,5,240,228,Crypto,Series C,106,2024
525,Crejo.Fun,Bengaluru,Unknown,India,Asia,170,30-06-2022,100,170,0,Education,Seed,3,2022
526,Enjoy,Mountain View,California,USA,North America,400,30-06-2022,18,2222,1822,Retail,Post-IPO,310,2022
527,Finleap Connect,Hamburg,Hamburg,Germany,Europe,14,30-06-2022,10,140,126,Finance,Series A,22,2022
528,Nate,New York City,New York,USA,North America,30,30-06-2022,20,150,120,Retail,Series A,47,2022
529,Stash Financial,New York City,New York,USA,North America,40,30-06-2022,8,500,460,Finance,Unknown,480,2022
530,Stream,Boulder,Colorado,USA,North America,20,30-06-2022,12,167,147,Product,Series B,58,2022
531,Canoo,Los Angeles,California,USA,North America,58,01-07-2022,6,967,909,Transportation,Post-IPO,300,2022
532,Teleport,Oakland,California,USA,North America,15,01-07-2022,6,250,235,Infrastructure,Series C,169,2022
533,WanderJaunt,San Francisco,California,USA,North America,85,01-07-2022,100,85,0,Travel,Series B,26,2022
534,Celsius,New York City,New York,USA,North America,150,03-07-2022,25,600,450,Crypto,Series B,864,2022
535,Lendis,Berlin,Berlin,Germany,Europe,18,04-07-2022,15,120,102,Other,Series A,90,2022
536,Lightricks,Jerusalem,Unknown,Israel,Asia,80,04-07-2022,12,667,587,Consumer,Series D,335,2022
537,Sendle,Sydney,Unknown,Australia,Oceana,27,04-07-2022,12,225,198,Logistics,Series C,69,2022
538,Bizzabo,New York City,New York,USA,North America,120,05-07-2022,30,400,280,Marketing,Series E,194,2022
539,Bullish,Hong Kong,Unknown,Hong Kong,Asia,30,05-07-2022,8,375,345,Crypto,Unknown,300,2022
540,eToro,Tel Aviv,Unknown,Israel,Asia,100,05-07-2022,6,1667,1567,Finance,Unknown,322,2022
541,Loft,Sao Paulo,Unknown,Brazil,South America,384,05-07-2022,12,3200,2816,Real Estate,Unknown,788,2022
542,Outschool,San Francisco,California,USA,North America,31,05-07-2022,18,172,141,Education,Series D,240,2022
543,Syte,Tel Aviv,Unknown,Israel,Asia,13,05-07-2022,8,163,150,Retail,Series C,71,2022
544,Thimble,New York City,New York,USA,North America,20,05-07-2022,33,61,41,Finance,Series A,28,2022
545,Transmit Security,Boston,Massachusetts,USA,North America,27,05-07-2022,7,386,359,Security,Series A,583,2022
546,Verbit,New York City,New York,USA,North America,80,05-07-2022,10,800,720,Data,Series E,569,2022
547,Anodot,Tel Aviv,Unknown,Israel,Asia,35,06-07-2022,27,130,95,Data,Series C,64,2022
548,Remote,San Francisco,California,USA,North America,100,06-07-2022,9,1111,1011,HR,Series C,496,2022
549,SQream,New York City,New York,USA,North America,30,06-07-2022,18,167,137,Data,Series B,77,2022
550,Argo AI,Pittsburgh,Pennsylvania,USA,North America,150,07-07-2022,5,3000,2850,Transportation,Unknown,Null,2022
551,Emotive,Los Angeles,California,USA,North America,30,07-07-2022,18,167,137,Marketing,Series B,78,2022
552,Next Insurance,Palo Alto,California,USA,North America,150,07-07-2022,17,882,732,Finance,Series E,881,2022
553,Butler Hospitality,New York City,New York,USA,North America,1000,08-07-2022,100,1000,0,Food,Series B,50,2022
554,Calibrate,New York City,New York,USA,North America,156,08-07-2022,24,650,494,Healthcare,Series B,127,2022
555,Hopin,London,Unknown,UK,Europe,242,11-07-2022,29,834,592,Other,Series D,1000,2022
556,SundaySky,New York City,New York,USA,North America,24,11-07-2022,13,185,161,Marketing,Series D,74,2022
557,Gopuff,Philadelphia,Pennsylvania,USA,North America,1500,12-07-2022,10,15000,13500,Food,Series H,3400,2022
558,Hubilo,San Francisco,California,USA,North America,45,12-07-2022,12,375,330,Marketing,Series B,153,2022
559,Arrival,London,Unknown,UK,Europe,480,13-07-2022,30,1600,1120,Transportation,Post-IPO,629,2022
560,Bryter,Berlin,Berlin,Germany,Europe,100,13-07-2022,30,333,233,Product,Series B,89,2022
561,ChowNow,Los Angeles,California,USA,North America,100,13-07-2022,20,500,400,Food,Series C,64,2022
562,Fabric,New York City,New York,USA,North America,120,13-07-2022,40,300,180,Logistics,Series C,336,2022
563,Involves,Florianopolis,Unknown,Brazil,South America,70,13-07-2022,18,389,319,Retail,Unknown,23,2022
564,Tonal,San Francisco,California,USA,North America,262,13-07-2022,35,749,487,Fitness,Series E,450,2022
565,Wave,Dakar,Unknown,Senegal,Africa,300,13-07-2022,15,2000,1700,Finance,Series A,292,2022
566,Kiavi,San Francisco,California,USA,North America,39,14-07-2022,7,557,518,Real Estate,Series E,240,2022
567,The Mom Project,Chicago,Illinois,USA,North America,54,14-07-2022,15,360,306,HR,Series C,115,2022
568,Unstoppable Do.,San Francisco,California,USA,North America,42,14-07-2022,25,168,126,Crypto,Series B,7,2022
569,Zego,London,Unknown,UK,Europe,85,14-07-2022,17,500,415,Finance,Series C,202,2022
570,Bright Money,Bengaluru,Unknown,India,Asia,100,15-07-2022,50,200,100,Finance,Series A,31,2022
571,Heroes,London,Unknown,UK,Europe,24,15-07-2022,20,120,96,Retail,Unknown,265,2022
572,Project44,Chicago,Illinois,USA,North America,63,15-07-2022,5,1260,1197,Logistics,Unknown,817,2022
573,Gemini,New York City,New York,USA,North America,68,18-07-2022,7,971,903,Crypto,Unknown,423,2022
574,Lusha,New York City,New York,USA,North America,30,18-07-2022,10,300,270,Marketing,Series B,245,2022
575,Olive AI,Columbus,Ohio,USA,North America,450,19-07-2022,31,1452,1002,Healthcare,Series H,856,2022
576,Flyhomes,Seattle,Washington,USA,North America,200,20-07-2022,20,1000,800,Real Estate,Series C,310,2022
577,Forma.ai,Toronto,Unknown,Canada,North America,15,20-07-2022,9,167,152,Sales,Series B,58,2022
578,Introhive,Ferdericton,Unknown,Canada,North America,57,20-07-2022,16,356,299,Sales,Series C,125,2022
579,Lyft,San Francisco,California,USA,North America,60,20-07-2022,2,3000,2940,Transportation,Post-IPO,4900,2022
580,Zencity,Tel Aviv,Unknown,Israel,Asia,30,20-07-2022,20,150,120,Other,Unknown,51,2022
581,Blockchain.com,London,Unknown,UK,Europe,150,21-07-2022,25,600,450,Crypto,Series D,490,2022
582,Lunchbox,New York City,New York,USA,North America,60,21-07-2022,33,182,122,Food,Series B,72,2022
583,Rad Power Bikes,Seattle,Washington,USA,North America,63,21-07-2022,10,630,567,Transportation,Series D,329,2022
584,RealSelf,Seattle,Washington,USA,North America,11,21-07-2022,5,220,209,Healthcare,Series B,42,2022
585,WHOOP,Boston,Massachusetts,USA,North America,95,21-07-2022,15,633,538,Fitness,Series F,404,2022
586,Clarify Health,San Francisco,California,USA,North America,15,22-07-2022,5,300,285,Healthcare,Series D,328,2022
587,Eucalyptus,Sydney,Unknown,Australia,Oceana,50,22-07-2022,20,250,200,Healthcare,Series C,69,2022
588,Quanto,Sao Paulo,Unknown,Brazil,South America,28,22-07-2022,22,127,99,Finance,Series A,15,2022
589,Soluto,Tel Aviv,Unknown,Israel,Asia,120,24-07-2022,100,120,0,Support,Acquired,18,2022
590,Pear Therapeutics,Boston,Massachusetts,USA,North America,25,25-07-2022,9,278,253,Healthcare,Post-IPO,409,2022
591,Dover,San Jose,California,USA,North America,23,26-07-2022,30,77,54,HR,Series A,22,2022
592,Fiverr,Tel Aviv,Unknown,Israel,Asia,60,26-07-2022,8,750,690,Other,Post-IPO,111,2022
593,Immutable,Sydney,Unknown,Australia,Oceana,20,26-07-2022,6,333,313,Crypto,Series C,279,2022
594,InDebted,Sydney,Unknown,Australia,Oceana,40,26-07-2022,17,235,195,Finance,Series B,41,2022
595,Outbrain,New York City,New York,USA,North America,38,26-07-2022,3,1267,1229,Marketing,Post-IPO,394,2022
596,Shopify,Ottawa,Unknown,Canada,North America,1000,26-07-2022,10,10000,9000,Retail,Post-IPO,122,2022
597,Coinsquare,Toronto,Unknown,Canada,North America,30,27-07-2022,24,125,95,Crypto,Unknown,98,2022
598,Rivian,Detroit,Michigan,USA,North America,840,27-07-2022,6,14000,13160,Transportation,Post-IPO,10700,2022
599,Skai,Tel Aviv,Unknown,Israel,Asia,30,27-07-2022,4,750,720,Marketing,Series E,60,2022
600,Vox Media,Washington DC,District of Columbia,USA,North America,39,27-07-2022,2,1950,1911,Media,Series F,307,2022
601,Career Karma,San Francisco,California,USA,North America,60,28-07-2022,33,182,122,Education,Series B,51,2022
602,Metromile,San Francisco,California,USA,North America,60,28-07-2022,20,300,240,Finance,Acquired,510,2022
603,Clearco,Toronto,Unknown,Canada,North America,125,29-07-2022,25,500,375,Finance,Series C,681,2022
604,Quantcast,San Francisco,California,USA,North America,40,29-07-2022,6,667,627,Marketing,Series C,65,2022
605,Metigy,Sydney,Unknown,Australia,Oceana,75,31-07-2022,100,75,0,Marketing,Series B,18,2022
606,Vee,Tel Aviv,Unknown,Israel,Asia,16,31-07-2022,32,50,34,HR,Seed,15,2022
607,Hash,Sao Paulo,Unknown,Brazil,South America,58,01-08-2022,50,116,58,Finance,Series C,58,2022
608,Glossier,New York City,New York,USA,North America,19,02-08-2022,8,238,219,Retail,Series E,266,2022
609,Latch,New York City,New York,USA,North America,115,02-08-2022,37,311,196,Security,Post-IPO,342,2022
610,Nylas,San Francisco,California,USA,North America,80,02-08-2022,25,320,240,Product,Series C,175,2022
611,Outreach,Seattle,Washington,USA,North America,60,02-08-2022,5,1200,1140,Sales,Series G,489,2022
612,Robinhood,Menlo Park,California,USA,North America,713,02-08-2022,23,3100,2387,Finance,Post-IPO,5600,2022
613,Sendy,Nairobi,Unknown,Kenya,Africa,54,02-08-2022,20,270,216,Logistics,Series B,26,2022
614,Sendy,Nairobi,Unknown,Kenya,Africa,30,02-08-2022,10,300,270,Logistics,Series B,26,2022
615,Stedi,Boulder,Colorado,USA,North America,23,02-08-2022,30,77,54,Product,Series B,75,2022
616,Beyond Meat,Los Angeles,California,USA,North America,40,03-08-2022,4,1000,960,Food,Post-IPO,122,2022
617,Unbounce,Vancouver,Unknown,Canada,North America,47,03-08-2022,20,235,188,Marketing,Series A,39,2022
618,10X Genomics,Pleasanton,California,USA,North America,100,04-08-2022,8,1250,1150,Healthcare,Post-IPO,242,2022
619,Doma,Huntington Beach,California,USA,North America,250,04-08-2022,13,1923,1673,Finance,Post-IPO,679,2022
620,Jam City,Los Angeles,California,USA,North America,200,04-08-2022,17,1176,976,Consumer,Unknown,652,2022
621,LEAD,Mumbai,Unknown,India,Asia,80,04-08-2022,4,2000,1920,Education,Series E,166,2022
622,On Deck,San Francisco,California,USA,North America,73,04-08-2022,33,221,148,Education,Series A,20,2022
623,RenoRun,Montreal,Unknown,Canada,North America,70,04-08-2022,12,583,513,Construction,Series B,163,2022
624,iRobot,Boston,Massachusetts,USA,North America,140,05-08-2022,10,1400,1260,Consumer,Acquired,30,2022
625,Mejuri,Toronto,Unknown,Canada,North America,50,05-08-2022,10,500,450,Retail,Series B,28,2022
626,Uberflip,Toronto,Unknown,Canada,North America,31,05-08-2022,17,182,151,Marketing,Series A,42,2022
627,Groupon,Chicago,Illinois,USA,North America,500,08-08-2022,15,3333,2833,Retail,Post-IPO,Null,2022
628,Loggi,Sao Paulo,Unknown,Brazil,South America,500,08-08-2022,15,3333,2833,Logistics,Series F,507,2022
629,Perion,Tel Aviv,Unknown,Israel,Asia,20,08-08-2022,5,400,380,Marketing,Post-IPO,76,2022
630,GoHealth,Chicago,Illinois,USA,North America,800,09-08-2022,20,4000,3200,Healthcare,Post-IPO,75,2022
631,Hootsuite,Vancouver,Unknown,Canada,North America,400,09-08-2022,30,1333,933,Marketing,Series C,300,2022
632,Linktree,Melbourne,Unknown,Australia,Oceana,50,09-08-2022,17,294,244,Consumer,Unknown,165,2022
633,MadeiraMadeira,Curitiba,Unknown,Brazil,South America,60,09-08-2022,3,2000,1940,Retail,Series E,338,2022
634,Nutanix,San Jose,California,USA,North America,270,09-08-2022,4,6750,6480,Infrastructure,Post-IPO,1100,2022
635,Quanterix,Boston,Massachusetts,USA,North America,130,09-08-2022,25,520,390,Healthcare,Post-IPO,533,2022
636,Shogun,Walnut,California,USA,North America,48,09-08-2022,30,160,112,Retail,Series C,114,2022
637,Permutive,London,Unknown,UK,Europe,30,10-08-2022,12,250,220,Marketing,Series C,105,2022
638,Trybe,Sao Paulo,Unknown,Brazil,South America,47,10-08-2022,10,470,423,Education,Series B,40,2022
639,Calm,San Francisco,California,USA,North America,90,11-08-2022,20,450,360,Healthcare,Series C,218,2022
640,FourKites,Chicago,Illinois,USA,North America,60,11-08-2022,8,750,690,Logistics,Series D,201,2022
641,Marketforce,Nairobi,Unknown,Kenya,Africa,54,11-08-2022,9,600,546,Retail,Series A,42,2022
642,Truepill,Hayward,California,USA,North America,175,11-08-2022,33,530,355,Healthcare,Series D,255,2022
643,Peloton,New York City,New York,USA,North America,784,12-08-2022,13,6031,5247,Fitness,Post-IPO,1900,2022
644,Blend,San Francisco,California,USA,North America,220,15-08-2022,12,1833,1613,Finance,Post-IPO,665,2022
645,ContraFect,New York City,New York,USA,North America,16,15-08-2022,37,43,27,Healthcare,Post-IPO,380,2022
646,Sema4,Stamford,Connecticut,USA,North America,250,15-08-2022,13,1923,1673,Healthcare,Post-IPO,791,2022
647,AlayaCare,Montreal,Unknown,Canada,North America,80,16-08-2022,14,571,491,Healthcare,Series D,293,2022
648,Pliops,Tel Aviv,Unknown,Israel,Asia,12,16-08-2022,9,133,121,Data,Series D,205,2022
649,Woven,Indianapolis,Indiana,USA,North America,5,16-08-2022,15,33,28,HR,Series A,11,2022
650,Malwarebytes,Santa Clara,California,USA,North America,125,17-08-2022,14,893,768,Security,Series B,80,2022
651,New Relic,San Francisco,California,USA,North America,110,18-08-2022,5,2200,2090,Infrastructure,Post-IPO,214,2022
652,Wheel,Austin,Texas,USA,North America,35,18-08-2022,17,206,171,Healthcare,Series C,215,2022
653,Wayfair,Boston,Massachusetts,USA,North America,870,19-08-2022,5,17400,16530,Retail,Post-IPO,Null,2022
654,Amperity,Seattle,Washington,USA,North America,13,20-08-2022,3,433,420,Marketing,Series D,187,2022
655,NSO,Tel Aviv,Unknown,Israel,Asia,100,21-08-2022,14,714,614,Security,Seed,1,2022
656,Tufin,Boston,Massachusetts,USA,North America,55,21-08-2022,10,550,495,Security,Acquired,21,2022
657,DataRobot,Boston,Massachusetts,USA,North America,242,23-08-2022,26,931,689,Data,Series G,1000,2022
658,Packable,New York City,New York,USA,North America,138,23-08-2022,20,690,552,Retail,Unknown,472,2022
659,Plato,San Francisco,California,USA,North America,29,23-08-2022,50,58,29,HR,Seed,3,2022
660,Q4,Toronto,Unknown,Canada,North America,50,23-08-2022,8,625,575,Other,Series C,91,2022
661,Skedulo,San Francisco,California,USA,North America,31,23-08-2022,8,388,357,HR,Series C,114,2022
662,Tier Mobility,Berlin,Berlin,Germany,Europe,180,23-08-2022,16,1125,945,Transportation,Series D,646,2022
663,Loop,Austin,Texas,USA,North America,15,24-08-2022,20,75,60,Finance,Series A,24,2022
664,Reali,San Mateo,California,USA,North America,140,24-08-2022,100,140,0,Real Estate,Series B,117,2022
665,Argyle,New York City,New York,USA,North America,20,26-08-2022,7,286,266,Finance,Series B,78,2022
666,54gene,Washington DC,District of Columbia,USA,North America,95,29-08-2022,30,317,222,Healthcare,Series B,44,2022
667,Immersive Labs,Bristol,Unknown,UK,Europe,38,30-08-2022,10,380,342,Security,Series C,123,2022
668,Apartment List,San Francisco,California,USA,North America,29,31-08-2022,10,290,261,Real Estate,Series D,169,2022
669,GoodRx,Los Angeles,California,USA,North America,140,31-08-2022,16,875,735,Healthcare,Post-IPO,910,2022
670,Hippo Insurance,Palo Alto,California,USA,North America,70,31-08-2022,10,700,630,Finance,Post-IPO,1300,2022
671,Smava,Berlin,Berlin,Germany,Europe,100,31-08-2022,10,1000,900,Finance,Unknown,188,2022
672,Snap,Los Angeles,California,USA,North America,1280,31-08-2022,20,6400,5120,Consumer,Post-IPO,4900,2022
673,TCR2,Boston,Massachusetts,USA,North America,30,31-08-2022,20,150,120,Healthcare,Post-IPO,173,2022
674,2TM,Sao Paulo,Unknown,Brazil,South America,100,01-09-2022,15,667,567,Crypto,Unknown,250,2022
675,Innovaccer,San Francisco,California,USA,North America,90,01-09-2022,8,1125,1035,Healthcare,Series E,379,2022
676,Urban Sports Club,Berlin,Berlin,Germany,Europe,55,01-09-2022,15,367,312,Fitness,Unknown,95,2022
677,Kuda,Lagos,Unknown,Nigeria,Africa,23,02-09-2022,5,460,437,Finance,Series B,91,2022
678,Brave Care,Portland,Oregon,USA,North America,40,06-09-2022,33,121,81,Healthcare,Series B,42,2022
679,Lawgeex,Tel Aviv,Unknown,Israel,Asia,30,06-09-2022,33,91,61,Legal,Series C,41,2022
680,Demandbase,San Francisco,California,USA,North America,27,07-09-2022,3,900,873,Sales,Series H,143,2022
681,Intercom,San Francisco,California,USA,North America,49,07-09-2022,5,980,931,Support,Series D,240,2022
682,Pendo,Raleigh,North Carolina,USA,North America,45,07-09-2022,5,900,855,Product,Series F,469,2022
683,Simple Feast,Copenhagen,Unknown,Denmark,Europe,150,07-09-2022,100,150,0,Food,Unknown,173,2022
684,Pomelo Fashion,Bangkok,Unknown,Thailand,Asia,55,08-09-2022,8,688,633,Retail,Unknown,120,2022
685,Compete,Tel Aviv,Unknown,Israel,Asia,11,12-09-2022,28,39,28,HR,Series A,17,2022
686,Checkout.com,London,Unknown,UK,Europe,100,13-09-2022,5,2000,1900,Finance,Series D,1800,2022
687,Patreon,San Francisco,California,USA,North America,80,13-09-2022,17,471,391,Media,Series F,413,2022
688,Rubius,Boston,Massachusetts,USA,North America,160,13-09-2022,75,213,53,Healthcare,Post-IPO,445,2022
689,Taboola,New York City,New York,USA,North America,100,13-09-2022,6,1667,1567,Marketing,Post-IPO,445,2022
690,Infarm,Berlin,Berlin,Germany,Europe,50,14-09-2022,5,1000,950,Other,Series D,604,2022
691,Pitch,Berlin,Berlin,Germany,Europe,59,14-09-2022,30,197,138,Marketing,Series B,137,2022
692,Twilio,San Francisco,California,USA,North America,800,14-09-2022,11,7273,6473,Other,Post-IPO,614,2022
693,Acast,Stockholm,Unknown,Sweden,Europe,70,15-09-2022,15,467,397,Media,Post-IPO,126,2024
694,LivePerson,New York City,New York,USA,North America,193,15-09-2022,11,1755,1562,Support,Post-IPO,42,2022
695,WorkRamp,San Carlos,California,USA,North America,35,15-09-2022,20,175,140,HR,Series C,67,2022
696,Clear,Bengaluru,Unknown,India,Asia,190,16-09-2022,20,950,760,Finance,Series C,140,2022
697,TrueLayer,London,Unknown,UK,Europe,40,16-09-2022,10,400,360,Finance,Series E,271,2022
698,Vesalius Therapeutics,Boston,Massachusetts,USA,North America,29,19-09-2022,43,67,38,Healthcare,Series B,75,2022
699,99,Sao Paulo,Unknown,Brazil,South America,75,20-09-2022,2,3750,3675,Transportation,Acquired,244,2024
700,Ada,Toronto,Unknown,Canada,North America,78,20-09-2022,16,488,410,Support,Series C,190,2024
702,Kitty Hawk,Palo Alto,California,USA,North America,100,21-09-2022,100,100,0,Aerospace,Unknown,1,2022
703,NYDIG,New York City,New York,USA,North America,110,22-09-2022,33,333,223,Crypto,Private Equity,1400,2022
704,Foxtrot,Chicago,Illinois,USA,North America,26,23-09-2022,4,650,624,Food,Series C,166,2022
705,Moss,Berlin,Berlin,Germany,Europe,70,23-09-2022,15,467,397,Finance,Series B,150,2022
706,Truiloo,Vancouver,Unknown,Canada,North America,24,23-09-2022,5,480,456,Security,Series D,474,2022
707,Divvy Homes,San Francisco,California,USA,North America,40,27-09-2022,12,333,293,Real Estate,Series B,180,2022
708,DocuSign,San Francisco,California,USA,North America,671,28-09-2022,9,7456,6785,Sales,Post-IPO,536,2022
709,Mux,San Francisco,California,USA,North America,40,29-09-2022,20,200,160,Infrastructure,Series D,173,2022
710,Spin,San Francisco,California,USA,North America,78,30-09-2022,10,780,702,Transportation,Acquired,8,2022
711,8x8,Campbell,California,USA,North America,200,04-10-2022,9,2222,2022,Support,Post-IPO,253,2022
712,Homie,Salt Lake City,Utah,USA,North America,40,04-10-2022,13,308,268,Real Estate,Series B,35,2022
